line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
Line:Relation:36997,34,Bus 34 : Les Noues RER (Circulaire),Les Courriers de l'Île-de-France,Keolis CIF,#00B353,route_master,bus,014014034:34
Line:Relation:107352,33,Bus 33 : Les Noues RER (Circulaire),Les Courriers de l'Île-de-France,Keolis CIF,#007AC2,route_master,bus,014014033:33
Line:Relation:107354,11,Bus 11 : Victor Basch (Goussainville) ↔ Saint-Denis Porte de Paris,Les Courriers de l'Île-de-France,Keolis CIF,#B456A1,route_master,bus,014014011:11
Line:Relation:107356,32,"Bus 32 : Goussainville, Victor Basch - Roissypole",Les Courriers de l'Île-de-France,Keolis CIF,#B2CE40,route_master,bus,014014032:32
Line:Relation:122886,C,Train RER C,RER,SNCF,#FCD946,route_master,train,800:C
Line:Relation:215565,U,Transilien U,Transilien,SNCF,#ED0677,route_master,train,800:U
Line:Relation:225665,170,Bus 170 : Saint-Denis RER ↔ Porte des Lilas,RATP,RATP,#87d3df,route_master,bus,100100170:170
Line:Relation:225800,PC3,PC3 - Bus 99 : Porte Maillot - Pershing ↔ Porte de la Chapelle,RATP,RATP,#ed192e,route_master,bus,100100099:PC3
Line:Relation:225801,115,Bus 115: Château de Vincennes ↔ Porte des Lilas,RATP,RATP,#008B5A,route_master,bus,100100115:115
Line:Relation:226276,96,Bus 96 : Gare Montparnasse ↔ Porte des Lilas,RATP,RATP,#DFB03A,route_master,bus,100100096:96
Line:Relation:253357,K,Transilien K,Transilien,SNCF,#C7B300,route_master,train,800:K
Line:Relation:255442,61,Bus 61 : Gare d'Austerlitz ↔ Pantin — Église de Pantin,RATP,RATP,#008C5A,route_master,bus,100100061:61
Line:Relation:332709,147,Bus 147 : Église de Pantin ↔ Sevran – Avenue Ronsard,RATP,RATP,#F50024,route_master,bus,100100147:147
Line:Relation:387064,86,Bus 86 : Saint-Germain-des-Prés ↔ Saint-Mandé — Demi-Lune - Parc Zoologique,RATP,RATP,#ED1B2A,route_master,bus,100100086:86
Line:Relation:557587,285,Bus 285 : Athis-Mons–Porte de l'Essonne ↔ Marché de Juvisy,RATP,RATP,#bb4a9c,route_master,bus,100100285:285
Line:Relation:611648,157,Bus 157 : Nanterre - Boulevard de la Seine ↔ Pont de Neuilly,RATP,RATP,#B34A9B,route_master,bus,100100157:157
Line:Relation:611689,378,Bus 378 : Nanterre–Ville RER <> Les Courtilles,RATP,RATP,#00824E,route_master,bus,
Line:Relation:901462,160,Bus 160 : Pont de Saint-Cloud – Albert Kahn ↔ Nanterre–Préfecture RER,RATP,RATP,#008C5A,route_master,bus,100100160:160
Line:Relation:937383,174,Bus 174 : Saint-Ouen RER ↔ La Défense,RATP,RATP,#00643C,route_master,bus,100100174:174
Line:Relation:937390,74,Bus 74 : Clichy-la-Garenne – Berges de Seine ↔ Hôtel de Ville,RATP,RATP,#CEC92A,route_master,bus,100100074:74
Line:Relation:949582,177,Bus 177 : Asnières-Gennevilliers - Gabriel Péri ↔ Villeneuve-La-Garenne - ZI,RATP,RATP,#85E271,route_master,bus,100100177:177
Line:Relation:949583,137,Bus 137 : Porte de Clignancourt ↔ Villeneuve-la-Garenne ZI Nord,RATP,RATP,#F55323,route_master,bus,100100137:137
Line:Relation:949584,261,Bus 261 : Gare de Franconville ↔ Bongarde,RATP,RATP,#FF1300,route_master,bus,100100261:261
Line:Relation:949585,178,Bus 178 : Grande Arche ↔ Gennevilliers RER ↔ Vieux Chemin de Saint-Denis–Centre Commercial,RATP,RATP,#3445C6,route_master,bus,100100178:178
Line:Relation:952693,166,Bus 166 : Gennevilliers ZAC des Louvresses ↔ Porte de la Chapelle,RATP,RATP,#652B91,route_master,bus,100100166:166
Line:Relation:952830,85,Bus 85 : Saint-Ouen - Mairie de Saint-Ouen ↔ Luxembourg,RATP,RATP,#7c562f,route_master,bus,100100085:85
Line:Relation:954976,139,Bus 139 : Saint-Ouen RER ↔ Porte de la Villette,RATP,RATP,#F55323,route_master,bus,100100139:139
Line:Relation:954977,65,Bus 65 : Gare de Lyon ↔ Porte de la Chapelle,RATP,RATP,#008C5A,route_master,bus,100100065:65
Line:Relation:968720,144,Bus 144 : Rueil Malmaison RER ↔ La Défense,RATP,RATP,,route_master,bus,100100144:144
