stop_area_id,lat,lon,name,osm:STIF:zone,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:alt_name,osm:alt_ref:FR:uic8,osm:alt_uic_ref,osm:amenity,osm:bus,osm:description,osm:line:SNCF,osm:metro,osm:name,osm:name:CIF,osm:name:RATP,osm:name:RER,osm:name:TZen1,osm:name:Tice,osm:name:de,osm:name:es,osm:name:fr,osm:name:it,osm:name:pt,osm:name:ru,osm:network,osm:official_name,osm:old_name,osm:old_name:1889-~1900,osm:old_name:2006-12-15-~2010,osm:old_name:~1900-2006-12-15,osm:old_name:~2010-2012,osm:opening_hours,osm:operator,osm:platforms,osm:public_transport,osm:public_transport:version,osm:rail,osm:railway,osm:ref,osm:ref:FR:RATP,osm:ref:FR:STIF,osm:ref:FR:uic8,osm:ref:structurae,osm:short_name,osm:site,osm:source,osm:source:name,osm:station,osm:subway,osm:train,osm:tram,osm:tramway,osm:type,osm:type:RATP,osm:uic_name,osm:uic_ref,osm:wheelchair,osm:wikidata,osm:wikipedia
StopArea:Relation:62906,48.8421016,2.321074,Montparnasse-Bienvenüe (13),,,,,,,,,,,,,Montparnasse-Bienvenüe (13),,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:65080,48.8525808,2.3887913999999997,Rue des Boulets,,,,,,,,,,,,,Rue des Boulets,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:65530,48.9064062,2.4492434,Bobigny — Pablo Picasso,,,,,,,,,,,,,Bobigny — Pablo Picasso,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:214475,48.8621487,2.3467922,Châtelet Les Halles,,,,,,,,,,,,,Châtelet Les Halles,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,yes,,,public_transport,,,,,,
StopArea:Relation:224190,48.871317999999995,2.2777713,Porte Dauphine,,,,,,,,,,,,,Porte Dauphine,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:224211,48.8828803,2.3442564999999997,Anvers,,,,,,,,,,,,,Anvers,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,yes,,,,public_transport,,,,,,
StopArea:Relation:224217,48.8847004,2.2989827,Pereire,,,,,,,,,,,,,Pereire,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:224224,48.853898199999996,2.2893958999999997,Bir-Hakeim,,,,,,,,,,,,,Bir-Hakeim,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:224229,48.8580816,2.2741957999999998,La Muette - Boulainvilliers,,,,,,,,,,,,,La Muette - Boulainvilliers,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:371558,48.8531864,2.3684890999999997,Bastille (5),,,,,,,,,,,,,Bastille (5),,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:379422,48.866205199999996,2.3223767,Concorde (8),,,,,,,,,,,,,Concorde (8),,,,,,Eintracht,Concordia,,Concorde,Concórdia,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:379425,48.8745945,2.321544,Saint-Augustin Saint-Lazare,,,,,,,,,,,,,Saint-Augustin Saint-Lazare,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:965955,48.8837057,2.3329771,Blanche,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:965958,48.8837627,2.3497898999999998,Barbès - Rochechouard (2),,,,,,,,,,,,,Barbès - Rochechouard (2),,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
