stop_id,ZDEr_ID_REF_A
StopPoint:10:10,10380
StopPoint:10:100,3768
StopPoint:10:1002,10460
StopPoint:10:1003,10461
StopPoint:10:1004,10397
StopPoint:10:1005,10398
StopPoint:10:1006,10399
StopPoint:10:1007,10400
StopPoint:10:1008,10401
StopPoint:10:1009,10402
StopPoint:10:101,3769
StopPoint:10:1015,12377
StopPoint:10:1016,12378
StopPoint:10:102,3770
StopPoint:10:106,3772
StopPoint:10:11,3720
StopPoint:10:110,3774
StopPoint:10:111,3775
StopPoint:10:112,3776
StopPoint:10:1144,19799
StopPoint:10:1145,19800
StopPoint:10:1146,19801
StopPoint:10:1147,19802
StopPoint:10:1148,19803
StopPoint:10:1149,19804
StopPoint:10:115,3777
StopPoint:10:1150,19805
StopPoint:10:1151,19806
StopPoint:10:1152,19807
StopPoint:10:1153,19808
StopPoint:10:1154,19809
StopPoint:10:1155,19810
StopPoint:10:1156,19811
StopPoint:10:1157,21194
StopPoint:10:1158,19812
StopPoint:10:1159,19813
StopPoint:10:116,3778
StopPoint:10:1160,19814
StopPoint:10:1161,19815
StopPoint:10:1162,19816
StopPoint:10:1163,19817
StopPoint:10:1164,19818
StopPoint:10:1165,19819
StopPoint:10:1166,422606
StopPoint:10:1168,422605
StopPoint:10:1169,19822
StopPoint:10:117,3779
StopPoint:10:1170,19823
StopPoint:10:1171,19824
StopPoint:10:1172,11647
StopPoint:10:1173,20110
StopPoint:10:1174,20111
StopPoint:10:1175,29397
StopPoint:10:1176,16942
StopPoint:10:1177,20114
StopPoint:10:1178,20115
StopPoint:10:1179,20116
StopPoint:10:118,3780
StopPoint:10:1180,20117
StopPoint:10:1181,20118
StopPoint:10:1182,20119
StopPoint:10:1183,11648
StopPoint:10:1185,11677
StopPoint:10:1186,21739
StopPoint:10:1187,21740
StopPoint:10:1188,21741
StopPoint:10:1189,21742
StopPoint:10:119,3781
StopPoint:10:1190,21743
StopPoint:10:1191,21744
StopPoint:10:1192,21745
StopPoint:10:1193,21746
StopPoint:10:1194,21747
StopPoint:10:1196,21748
StopPoint:10:1197,21749
StopPoint:10:1198,21750
StopPoint:10:1199,21751
StopPoint:10:120,3782
StopPoint:10:1200,21752
StopPoint:10:1201,21753
StopPoint:10:1202,21754
StopPoint:10:1203,21755
StopPoint:10:1204,21756
StopPoint:10:1207,21525
StopPoint:10:1208,9412
StopPoint:10:1209,21527
StopPoint:10:121,3783
StopPoint:10:1210,21528
StopPoint:10:1211,21529
StopPoint:10:1212,21530
StopPoint:10:1213,21531
StopPoint:10:1214,21532
StopPoint:10:1215,21533
StopPoint:10:1216,21534
StopPoint:10:1217,21535
StopPoint:10:1218,21536
StopPoint:10:1219,21686
StopPoint:10:122,8479
StopPoint:10:1220,21687
StopPoint:10:1221,22436
StopPoint:10:1222,22437
StopPoint:10:1223,22438
StopPoint:10:1224,22439
StopPoint:10:1225,22440
StopPoint:10:1226,22441
StopPoint:10:1227,23547
StopPoint:10:1228,415256
StopPoint:10:1230,22547
