route_short_name,osm_transport_mode,agency_name
Fs,bus,Pays de Meayx
F,bus,Pays de Meaux
G,bus,Pays de Meaux
J,bus,Pays de Meaux
I,bus,Pays de Meaux
Es,bus,Pays de Meaux
B,bus,Pays de Meaux
A,bus,Pays de Meaux
C,bus,Pays de Meaux
E,bus,Pays de Meaux
D,bus,Pays de Meaux
Ns,bus,Pays de Meaux
N,bus,Pays de Meaux
O,bus,Pays de Meaux
Qs,bus,Pays de Meaux
Os,bus,Pays de Meaux
M,bus,Pays de Meaux
K,bus,Pays de Meaux
Js,bus,Pays de Meaux
Ks,bus,Pays de Meaux
Ls,bus,Pays de Meaux
L,bus,Pays de Meaux
100,bus,Express 100 Torcy-Créteil
191-100,bus,Keolis Orly Rungis
GO Cparis,bus,Keolis Orly Rungis
Beauvais,bus,Aéroport Paris Beauvais
100,bus,Express A14
Exp A14,bus,Express A14
Exp A14,bus,Express A14
FILEO FO,bus,Filéo
FILEO G,bus,Filéo
FILEO O,bus,Filéo
32,bus,Filéo
100C,bus,KMR
100P,bus,Busval d'Oise
27,bus,Filéo
FILEO V,bus,Filéo
FILEO VB,bus,Filéo
FILEO VE,bus,Filéo
FILEO T,bus,Filéo
FILEO S,bus,Filéo
FILEO SL,bus,Filéo
FILEO SP,bus,Filéo
95-42,bus,Busval d'Oise
95-43,bus,Busval d'Oise
95-41,bus,Busval d'Oise
95-04,bus,Busval d'Oise
95-11,bus,Busval d'Oise
95-47,bus,Busval d'Oise
95-48,bus,Busval d'Oise
95-46,bus,Busval d'Oise
95-44,bus,Busval d'Oise
95-45,bus,Busval d'Oise
E,bus,TAM
F,bus,TAM
G,bus,TAM
A,bus,TAM
C,bus,TAM
D,bus,TAM
M,bus,TAM
X,bus,TAM
Z,bus,TAM
I,bus,TAM
J,bus,TAM
K,bus,TAM
95-08,bus,Busval d'Oise
95-12,bus,Busval d'Oise
95-16,bus,Busval d'Oise
95-05,bus,Busval d'Oise
95-06,bus,Busval d'Oise
95-07,bus,Busval d'Oise
95-33,bus,Busval d'Oise
95-34,bus,Busval d'Oise
95-35,bus,Busval d'Oise
95-17,bus,Busval d'Oise
95-31,bus,Busval d'Oise
95-32,bus,Busval d'Oise
EXP A14 B,bus,Express A14
EXP A14 C,bus,Express A14
EXP A14 M,bus,Express A14
CDG,bus,MAGICAL SHUTTLE
Orly,bus,MAGICAL SHUTTLE
Selected,bus,MAGICAL SHUTTLE
15,bus,Com'Bus
16,bus,Com'Bus
109,bus,Com'Bus
110,bus,Com'Bus
19,bus,Com'Bus
20,bus,Com'Bus
17,bus,Com'Bus
18,bus,Com'Bus
10,bus,Com'Bus
02B,bus,Com'Bus
02C,bus,Com'Bus
01,bus,Com'Bus
02A,bus,Com'Bus
07,bus,Com'Bus
09,bus,Com'Bus
04,bus,Com'Bus
05,bus,Com'Bus
91,bus,Com'Bus
91,bus,Com'Bus
89,bus,Com'Bus
90,bus,Com'Bus
P,bus,Com'Bus
R,bus,Com'Bus
L,bus,Com'Bus
N,bus,Com'Bus
88,bus,Actipôles
26,bus,Com'Bus
52,bus,Com'Bus
21,bus,Com'Bus
22,bus,Com'Bus
88,bus,Actipôles
88,bus,Actipôles
81,bus,Com'Bus
82,bus,Com'Bus
31,bus,Phébus
32,bus,Phébus
33,bus,Phébus
22,bus,Phébus
23,bus,Phébus
24,bus,Phébus
34,bus,Phébus
42,bus,Phébus
45,bus,Phébus
60,bus,Phébus
35,bus,Phébus
36,bus,Phébus
40,bus,Phébus
4,bus,Titus
40,bus,Aubergenville
A,bus,Paris-Saclay
1,bus,Titus
2,bus,Titus
3,bus,Titus
E,bus,Paris-Saclay
G,bus,Paris-Saclay
J,bus,Paris-Saclay
B,bus,Paris-Saclay
C,bus,Paris-Saclay
D,bus,Paris-Saclay
N1,bus,ADP
N2,bus,ADP
GDN-CRE,bus,SNCF
EVN-PBT,bus,SNCF
EPY-PSB,bus,SNCF
GDN-GVE,bus,SNCF
H EMT-PNB,bus,SNCF
H CRL-PNB,bus,SNCF
GOU-CRE,bus,SNCF
D PST-GSV,bus,SNCF
D PLY-VSG,bus,SNCF
D MAA-VSG,bus,SNCF
D VSG-MLU,bus,SNCF
EPY-PON,bus,SNCF
EPY-PBT,bus,SNCF
E VSM-TOU,bus,SNCF
JVL-SQY,bus,SNCF
J STV-MLJ,bus,SNCF
J PSY-MRX,bus,SNCF
JVL-VRG,bus,SNCF
LUZ-MNT,bus,SNCF
LBT-PSF,bus,SNCF/RATP
LBT-PES,bus,SNCF/RATP
H-PBE-CRE,bus,SNCF
H ERM-PST,bus,SNCF
H EMT-PON,bus,SNCF
HCS - MLJ,bus,SNCF
J MRX-MLJ,bus,SNCF
J GIS-PON,bus,SNCF
J ARG-PON,bus,SNCF
C PAZ-JVY,bus,SNCF
C PAZ-CSY,bus,SNCF
C DDN-PAZ,bus,SNCF
C PAZ-MSY,bus,SNCF
CDG-PES,bus,SNCF/RATP
C PAZ-SME,bus,SNCF
C PAZ-PRU,bus,SNCF
ASB-PES,bus,SNCF/RATP
ANY-SDF,bus,SNCF/RATP
A STV-CLG,bus,SNCF/RATP
B CDG-ANY,bus,SNCF/RATP
C BTY-DDN,bus,SNCF
B CDG-PST,bus,SNCF/RATP
B CDG-PSF,bus,SNCF/RATP
D CRL-PST,bus,SNCF
D CBL-PLY,bus,SNCF
D CBL-MLB,bus,SNCF
D CRL-SDF,bus,SNCF
D JSY-FRT,bus,SNCF
D JSY-CBL,bus,SNCF
D GSV-SDF,bus,SNCF
CLH - PSL,bus,SNCF/RATP
CGY - PES,bus,SNCF
CDG-PSF,bus,SNCF/RATP
CLH-PSL,bus,SNCF
D CBL-JSY,bus,SNCF
CRE PON,bus,SNCF
CLH-STV,bus,SNCF
LUZ-PES,bus,SNCF
PSF-LBT,bus,SNCF/RATP
PSF-CDG,bus,SNCF/RATP
POS - NTP,bus,SNCF/RATP
PSF-MYC,bus,SNCF/RATP
RBP - CGY,bus,SNCF
RAM MON,bus,SNCF
PVS-PES,bus,SNCF
PMO - RBT,bus,SNCF
PMO - PLG,bus,SNCF
PLY-MEL,bus,SNCF
PMO - VLC,bus,SNCF
PON-PAZ,bus,SNCF
PON - PET,bus,SNCF
PMO-DRX,bus,SNCF
VRC-MSY,bus,SNCF
VLC - RBT,bus,SNCF
VLC - DRX,bus,SNCF
VRC-PAZ,bus,SNCF
VSG-CBE,bus,SNCF
VSG - MLH,bus,SNCF
VRG-JVL,bus,SNCF
STC-SNB,bus,SNCF
SNB - PSL,bus,SNCF
SDF-ANY,bus,SNCF/RATP
STV-CLH,bus,SNCF
U DEF-LVR,bus,SNCF
TOU - PST,bus,SNCF
T4,bus,SNCF
MTL - PSL,bus,SNCF
MSY-VRC,bus,SNCF
MNT-LUZ,bus,SNCF
MYC-PSF,bus,SNCF/RATP
N PLG-DRX,bus,SNCF
N LVR-RBT,bus,SNCF
N DRX-PMP,bus,SNCF
MEL - PLY,bus,SNCF
MEA-PSE,bus,SNCF
MCE-PES,bus,SNCF/RATP
MEL-MAU,bus,SNCF
MLJ - PLG,bus,SNCF
MGI-GDL,bus,SNCF
MEL-MGI,bus,SNCF
PET - CBP,bus,SNCF
PES-PRO,bus,SNCF
PES-CLG,bus,SNCF
PET-CLM,bus,SNCF
PLY-CBE,bus,SNCF
PLG - PMT,bus,SNCF
PLG - MLJ,bus,SNCF
NTF - CLH,bus,SNCF/RATP
N VSC-PLG,bus,SNCF
N PMP-VLC,bus,SNCF
P CTH-PET,bus,SNCF
PBT-PES,bus,SNCF
PAZ - DDN,bus,SNCF
P PET-MUX,bus,SNCF
611,bus,Seine-Saint-Denis
610,bus,Seine-Saint-Denis
609,bus,Seine-Saint-Denis
616,bus,Seine-Saint-Denis
615,bus,Seine-Saint-Denis
613,bus,Seine-Saint-Denis
603,bus,Seine-Saint-Denis
